borough,neighborhood,address,residential_unit,commercial_unit,total_unit,land_sq_ft,gross_sq_ft,year_built,price,sale_date
3,Midwood,1283 OCEAN AVENUE,0,1,1,4400,9400,1954,2750000,11/22/2016 0:00
4,Astoria,31-05 21ST   STREET,0,1,1,3370,2685,1930,2750000,12/22/2016 0:00
3,Bedford Stuyvesant,221 BAINBRIDGE STREET,9,0,9,3000,9240,1910,2750000,11/29/2016 0:00
3,Ocean Parkway-South,2122 EAST 3RD   STREET,1,0,1,2708,1616,1925,2750000,2/3/2017 0:00
3,Greenpoint,667 MEEKER AVENUE,6,0,6,2038,6500,2004,2750000,2/21/2017 0:00
3,Boerum Hill,233 BERGEN STREET,2,0,2,2000,2880,1910,2750000,1/10/2017 0:00
3,Park Slope,419 1 STREET,1,0,1,2000,3200,1901,2750000,8/30/2017 0:00
3,Crown Heights,236 UTICA AVE,4,1,5,1920,6720,1930,2750000,1/4/2017 0:00
3,Carroll Gardens,543 CLINTON STREET,3,1,4,1800,3780,1900,2750000,10/25/2016 0:00
3,Carroll Gardens,209 PRESIDENT STREET,4,0,4,1667,2550,1900,2750000,12/21/2016 0:00
3,Windsor Terrace,20 PROSPECT PARK SW,2,0,2,1615,2898,1899,2750000,6/16/2017 0:00
3,Williamsburg-South,61 SOUTH 4TH STREET,4,0,4,1410,3200,1910,2750000,2/10/2017 0:00
3,Clinton Hill,540 CLINTON AVENUE,2,0,2,2332,4404,1899,2752000,12/28/2016 0:00
3,Sunset Park,344 22ND   STREET,1,0,1,2504,2500,1901,2755000,4/27/2017 0:00
3,Park Slope,364 DOUGLASS ST,2,0,2,1750,2142,1899,2760000,1/10/2017 0:00
4,Long Island City,37-24 34TH STREET,0,1,1,3065,3000,1931,2775000,1/9/2017 0:00
3,Sunset Park,337 44TH STREET,9,0,9,2504,6740,1914,2775000,4/21/2017 0:00
3,Clinton Hill,101 GREENE AVENUE,2,0,2,3405,2556,1910,2785000,7/28/2017 0:00
1,Harlem,413 LENOX AVENUE,0,1,1,2288,3763,1910,2430000,2/17/2017 0:00
3,Downtown-Fulton Ferry,9 EVANS STREET,2,0,2,1480,3366,2005,2795000,11/28/2016 0:00
5,Rossville,2571 ARTHUR KILL ROAD,0,1,1,22840,21217,2001,2800000,6/28/2017 0:00
5,New Dorp-Heights,2375 RICHMOND ROAD,12,3,15,14700,14700,1965,2800000,2/8/2017 0:00
3,Canarsie,509 EAST 78TH   STREET,0,3,3,12277,16811,1990,2800000,3/21/2017 0:00
4,Jackson Heights,69-15 ASTORIA BLVD,0,1,1,9613,6912,1931,2800000,11/10/2016 0:00
4,Woodside,34-27 56TH   STREET,0,1,1,8200,2970,1928,2800000,6/28/2017 0:00
3,Williamsburg-East,311-315 SCHOLES STREET,0,1,1,7475,7475,1920,2800000,4/5/2017 0:00
3,Bensonhurst,7802 20TH AVENUE,0,3,3,4767,4767,1931,2800000,6/19/2017 0:00
3,Brownsville,45-49 LOTT AVENUE,16,0,16,4067,10450,1930,2800000,2/8/2017 0:00
3,Flatbush-Lefferts Garden,425 ROGERS AVE,8,2,10,2663,9375,1906,2800000,1/12/2017 0:00
3,Boerum Hill,118 3 AVENUE,0,2,2,2600,4620,1900,2800000,1/19/2017 0:00
3,Bedford Stuyvesant,1407 FULTON STREET,8,0,8,2525,7821,1910,2800000,2/16/2017 0:00
3,Bedford Stuyvesant,45 MADISON STREET,3,0,3,2500,3360,1899,2800000,12/1/2016 0:00
3,Greenpoint,140 MILTON STREET,2,0,2,2000,2328,1899,2800000,9/23/2016 0:00
3,Williamsburg-East,200 MIDDLETON STREET,3,0,3,2000,2700,1901,2800000,12/5/2016 0:00
4,Astoria,36-18 30TH AVENUE,2,1,3,2000,4093,1924,2800000,7/26/2017 0:00
3,Bay Ridge,7500 5TH AVENUE,0,0,0,1808,5160,1930,2800000,6/16/2017 0:00
3,Greenpoint,130 NOBLE STREET,4,0,4,1760,2900,1930,2800000,8/24/2017 0:00
1,Harlem,56 EAST 130 STREET,4,0,4,2498,7230,1900,2450000,9/21/2016 0:00
3,Clinton Hill,482 WAVERLY AVENUE,2,0,2,1540,1539,1899,2800000,2/8/2017 0:00
3,Park Slope,163 4 AVENUE,0,0,0,1238,0,0,2800000,3/20/2017 0:00
1,Harlem,30 EAST 130 STREET,2,0,2,1686,3416,1900,2450000,1/30/2017 0:00
3,Red Hook,78A SULLIVAN STREET,1,0,1,1752,0,2016,2800187,12/15/2016 0:00
3,Red Hook,80 SULLIVAN STREET,1,0,1,1752,0,2016,2800187,6/14/2017 0:00
3,Clinton Hill,967 ATLANTIC AVENUE,0,3,3,8970,17600,1930,2803994,11/7/2016 0:00
4,Woodside,47-03 58TH   LANE,3,0,3,3320,4872,2015,2804340,9/15/2016 0:00
3,Crown Heights,718 ST MARKS AVENUE,18,0,18,5019,22368,1900,2815589,6/30/2017 0:00
4,Corona,3732 107TH STREET,9,0,9,2778,8574,2007,2820000,10/18/2016 0:00
1,Harlem,357 WEST 123 STREET,2,0,2,1598,2340,1899,2460000,5/17/2017 0:00
3,Midwood,1965 CONEY ISLAND AVE,0,2,2,4000,5120,1928,2825000,2/3/2017 0:00
3,Ocean Parkway-South,2061 OCEAN PARKWAY,2,0,2,3125,3740,1920,2825000,4/28/2017 0:00
3,Wyckoff Heights,383 HARMAN STREET,0,0,0,2765,0,0,2825000,3/28/2017 0:00
3,Wyckoff Heights,373 HARMAN STREET,0,0,0,2500,0,0,2825000,3/28/2017 0:00
3,Carroll Gardens,143 SUMMIT STREET,4,0,4,2150,2120,1900,2825000,10/18/2016 0:00
3,Boerum Hill,479 ATLANTIC AVENUE,4,1,5,1800,3200,1915,2825000,12/6/2016 0:00
3,Bedford Stuyvesant,1226 BEDFORD AVENUE,4,0,4,1600,4340,1899,2825000,12/5/2016 0:00
4,Forest Hills,61 GREENWAY SOUTH,1,0,1,9695,3737,1940,2831000,10/28/2016 0:00
4,East Elmhurst,104-17 NORTHERN BOULEVARD,0,2,2,2293,2100,1930,2840000,6/6/2017 0:00
4,South Ozone Park,120-19 ROCKAWAY BLVD.,0,1,1,13080,10680,1964,2850000,5/11/2017 0:00
3,Ocean Parkway-South,1938 OCEAN PARKWAY,2,0,2,6000,3388,1925,2850000,4/4/2017 0:00
1,Harlem,76 EDGECOMBE AVENUE,4,0,4,1608,4611,1920,2495000,11/29/2016 0:00
